n/d;n/d;n/d;n/d;n/d;n/d;n/d;n/d;n/d
1;2;3;4;5;6;7;8;9
12.11.2021;0-42-JUNC-0003- WP01.L1;BKE011SE02C_2.5_GNLZ 02 x 2.5ÏÏC, 0,6/1 Í¬.;375;DR-LV-02C6-6218, L- 772 Ï.;0;3;n/d;n/d
12.11.2021;0-42-JUNC-0003- WP02.L2;BKE011SE02C_2.5_GNLZ 02 x 2.5Ï‡ÏÛ, 0,6/1 Í¬.;375;DR-LV-02C6-6218, ES77Z¿,;0;3;n/d;n/d
12.11.2021;—Ã-0-42-À≈À¬¿Ã-0002;BKE011SE02C_2.5_GNLZ 02 x 2.5ÏÏ-, 0,6/1 Í¬.;250;DR-CS-12P1-6205, L- 774 Ï.;0;3;n/d;n/d
12.11.2021;—Ã-0-42-À≈À¬¿Ã-0003;BKE011SE02C_2.5_GNLZ 02 x 2.5ÏÏ, 0,6/1 Í¬.;235;DR-CS-12P1-6205, L- 774 Ï.;0;3;n/d;n/d
13.11.2021;CM-0-42-JSJBZAN-0001;BKE011SE02C_2.5_GNLZ 02 x 2.5ÏÏ2, 0,6/1 Í¬.;280;DR-CS-12T2.5-1214, L- 656 Ï.;0;2;n/d;n/d
13.11.2021;CM-0-42-JSJBZAN-0002;BKE011SE02C_2.5_GNLZ 02 x 2.5Ï‡ÏÛ, 0,6/1 Í¬.;280;DR-CS-12T2.5-1214, L- 656 Ï.;0;2;n/d;n/d
13.11.2021;CS-0-42-00LIT 0001-N;BKET11SE02C_4___GNM Z 02 x 4ÏÏ2, 1 ÍB.;270;DR-CS-01P1-6203, E- 1029 Ï.;0;2;n/d;n/d
13.11.2021;CS-0-42-00MÃMOŒOY 0001A-N;BKET11SE02C_4___GNM Z 02 ı4ÏÏ-, 1 Í¬.;250;DR-CS-06P1.5-6204, L- 976 Ï.;0;2;n/d;n/d
13.11.2021;CS-0-42-00MOVY 0001 ¬-πÃ;BKET1ISE02C_4___GNM Z 02 x 4ÏÌÏ, 1 Í¬.;235;DR-CS-06P1.5-6204, L- 976 Ï.;0;2;n/d;n/d
13.11.2021;0-42-JECMN-0001- WP03.L3;BKE011SE02C_2.5_GNLZ 02 x 2.5Ï¿ÛZ, 0,6/1 Í¬.;35;DR-LV-02C4-8165, L- 515 Ï.;;2;n/d;n/d
13.11.2021;0-42-JRCC-0001-WP03.L3 .;BKE011SE02C_2.5_GNLZ 02 x 2.5ÏÏ2, 0,6/1 Í¬.;35;DR-LV-02C4-8165, ƒ≈“»:;0;2;n/d;n/d
13.11.2021;0-42-JUNC-0002- WP03.L2;BKE011SE02C_2.5_GNLZ 02 x 2.5Ï¿Û, 0,6/1 Í¬.;35;DR-LV-02C4-8165, L- 515 Ï.;0;4;n/d;n/d
13.11.2021;0-42-JUNC-0001- WP03.L1;¬ ≈Œ115≈02—_2.5 —Ã≈’ 02 x 2.5ÏÏÛ, 0,6/1 Í¬.;35;DR-LV-02C4-8165, L- 515 Ï:;0;2;n/d;n/d
13.11.2021;0-42-JE—C—DO-0001-WP01.L3;BKE011SE02C_2.5_GNLZ 02 x 2.5Ï¿Û, 0,6/1 Í¬.;35;DR-LV-02C2.5-8151, L- 1006 Ï.;0;2;n/d;n/d
14.11.2021;0-42-JECMN-0001- WP01.L3;BKE011SE02C_2.5_GNLZ 02 x 2.5ÏÏÛ, 0,6/1 Í¬.;35;DR-LV-02C2.5-8151, L- 1006 Ï.;0;-1;n/d;n/d
14.11.2021;0-42-JECMN-0001- WP02.L3;BKE011SE02C_2.5_GNLZ 02 x 2.5ÏÏ2, 0,6/1 Í¬.;35;DR-LV-02C2.5-8151, L- 1006 Ï.;0;#»Ãﬂ?;n/d;n/d
14.11.2021;0-42-JRCC-0001-WP01.L3;BKE01ISE02C_2.5_GNLZ 02 x 2.5ÏÏ32, 0,6/1 Í¬.;35;DR-LV-02C2.5-8151, L- 1006 Ï.;0;=;n/d;n/d
14.11.2021;0-42-JRCC-0001-WP02.L3;BKE011SE02C_2.5_GNLZ 02 x 2.5Ï¿, 0,6/1 Í¬.;35;DR-LV-02C2.5-8151, L- 1006 Ï.;0;51;n/d;n/d
14.11.2021;0-42-JUNC-0001- WP01.L1;BKE011SE02C_2.5_GNLZ 02 x 2.5Ï¿, 0,6/1 Í¬.;35;DR-LV-02C2.5-8151, L- 1006 Ï.;0;1:00;n/d;n/d
14.11.2021;0-42-JUNC-0001- WP02.L1;BKE011SE02C_2.5_GNLZ 02 x 2.5Ï¿Û, 0,6/1 Í¬.;35;DR-LV-02C2.5-8151, L- 1006 Ï.;0;˚È;n/d;n/d
14.11.2021;0-42-JUNC-0002- WP01.L2;BKE011SE02C_2.5_GNLZ 02 x 2.5Ï¿È, 0,6/1 Í¬.;35;DR-LV-02C2.5-8151, L- 1006 Ï.;0;I;n/d;n/d
14.11.2021;0-42-JUNC-0002- WP02.L2;BKE011SE02C_2.5_GNLZ 02 x 2.5Ï‡¿Û, 0,6/1 Í¬.;35;DR-LV-02C2.5-8151, L- 1006 Ï.;0;#»Ãﬂ?;n/d;n/d
14.11.2021;—–-0-42-03 Œ” 0001;BKET11SE02C_4___GNM Z 02 x 4Ï¿, I ÍB.;50;DR-LV-02C2.5-8151, L- 1006 Ï.;0;#»Ãﬂ?;n/d;n/d
14.11.2021;CM-0-42-JSJ/BZAN-0003;BKI933SE06T _2.5_NIMS 06 x 2.5ÏÏ-, 0,5 Í¬.;280;DR-CS-06T2.5-1213, L- 412 Ï.;0;=;n/d;n/d
14.11.2021;CM-0-42-JSLPDN-0001;BKE932SE06C_4___NIMS 06 x 4ÏÏ-, 0,66 Í¬.;280;DR-CS-06C4-1206, L- 972 Ï.;0;#»Ãﬂ?;n/d;n/d
